iter	Passed	Remaining
0	1	122
1	2	110
2	3	100
3	3	91
4	4	88
5	5	86
6	6	85
7	7	84
8	8	82
9	9	81
10	10	81
11	11	81
12	11	79
13	12	78
14	14	83
15	15	82
16	16	81
17	17	80
18	18	78
19	19	77
20	20	75
21	21	74
22	21	73
23	22	72
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	66
31	30	65
32	31	64
33	32	63
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	59	37
61	60	36
62	61	35
63	62	35
64	63	34
65	64	33
66	65	32
67	65	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	25
73	71	24
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	85	10
89	86	9
90	88	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	94	0
99	95	0
